[19:00:52] [INFO] received Windows console close event; shutting log-core down
[19:02:36] [INFO] received Windows console close event; shutting log-core down
[19:03:57] [INFO] received Windows console close event; shutting log-core down
[19:05:03] [INFO] received Windows console close event; shutting log-core down
[19:07:14] [INFO] received Windows console close event; shutting log-core down
[19:14:17] [INFO] received Windows console close event; shutting log-core down
[19:19:01] [INFO] received Windows console close event; shutting log-core down
[19:19:50] [INFO] received Windows console close event; shutting log-core down
[19:20:41] [INFO] received Windows console close event; shutting log-core down
[19:48:47] [INFO] received Windows console close event; shutting log-core down
[21:12:42] [INFO] received Windows console close event; shutting log-core down
[21:39:46] [INFO] received Windows console close event; shutting log-core down
[21:40:35] [INFO] received Windows console close event; shutting log-core down
[21:40:57] [INFO] received Windows console close event; shutting log-core down
[21:48:14] [INFO] received Windows console close event; shutting log-core down
[21:48:24] [INFO] received Windows console close event; shutting log-core down
[21:49:28] [INFO] received Windows console close event; shutting log-core down
[21:49:30] [INFO] received Windows console close event; shutting log-core down
[22:40:18] [INFO] received Windows console close event; shutting log-core down
[00:10:43] [INFO] received Windows console close event; shutting log-core down
[00:14:12] [INFO] received Windows console close event; shutting log-core down
[21:59:55] [INFO] received Windows console close event; shutting log-core down
[14:02:14] [INFO] received Windows console close event; shutting log-core down
[10:50:00] [INFO] received Windows console close event; shutting log-core down
[13:15:56] [INFO] received Windows console close event; shutting log-core down
[23:08:32] [INFO] received Windows console close event; shutting log-core down
[23:10:18] [INFO] received Windows console close event; shutting log-core down
[23:28:05] [INFO] received Windows console close event; shutting log-core down
[16:09:18] [INFO] received Windows console close event; shutting log-core down
[16:19:27] [INFO] received Windows console close event; shutting log-core down
[16:24:41] [INFO] received Windows console close event; shutting log-core down
[16:38:25] [INFO] received Windows console close event; shutting log-core down
[19:11:16] [INFO] received Windows console close event; shutting log-core down
[19:11:37] [INFO] received Windows console close event; shutting log-core down
[20:34:15] [INFO] received Windows console close event; shutting log-core down
[22:28:55] [INFO] received Windows console close event; shutting log-core down
[16:50:11] [INFO] received Windows console close event; shutting log-core down
[17:10:47] [INFO] received Windows console close event; shutting log-core down
[18:29:19] [INFO] received Windows console close event; shutting log-core down
[19:37:53] [INFO] received Windows console close event; shutting log-core down
[19:39:03] [INFO] received Windows console close event; shutting log-core down
[19:39:52] [INFO] received Windows console close event; shutting log-core down
[19:40:15] [INFO] received Windows console close event; shutting log-core down
[19:40:56] [INFO] received Windows console close event; shutting log-core down
[19:42:05] [INFO] received Windows console close event; shutting log-core down
[19:43:23] [INFO] received Windows console close event; shutting log-core down
[19:43:44] [INFO] received Windows console close event; shutting log-core down
[19:44:24] [INFO] received Windows console close event; shutting log-core down
[19:44:58] [INFO] received Windows console close event; shutting log-core down
[19:45:01] [INFO] received Windows console close event; shutting log-core down
[19:48:08] [INFO] received Windows console close event; shutting log-core down
[19:49:42] [INFO] received Windows console close event; shutting log-core down
[19:49:45] [INFO] received Windows console close event; shutting log-core down
[19:51:52] [INFO] received Windows console close event; shutting log-core down
[19:55:36] [INFO] received Windows console close event; shutting log-core down
[01:59:20] [INFO] received Windows console close event; shutting log-core down
[02:03:06] [INFO] received Windows console close event; shutting log-core down
[19:02:20] [INFO] received Windows console close event; shutting log-core down
[19:25:24] [INFO] received Windows console close event; shutting log-core down
[21:52:09] [INFO] received Windows console close event; shutting log-core down
[00:16:08] [INFO] received Windows console close event; shutting log-core down
[01:27:56] [INFO] received Windows console close event; shutting log-core down
[01:29:21] [INFO] received Windows console close event; shutting log-core down
[01:31:39] [INFO] received Windows console close event; shutting log-core down
[01:33:08] [INFO] received Windows console close event; shutting log-core down
[01:45:01] [INFO] received Windows console close event; shutting log-core down
[01:46:40] [INFO] received Windows console close event; shutting log-core down
[01:47:28] [INFO] received Windows console close event; shutting log-core down
[01:50:06] [INFO] received Windows console close event; shutting log-core down
[01:50:36] [INFO] received Windows console close event; shutting log-core down
[02:22:57] [INFO] received Windows console close event; shutting log-core down
[02:23:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:30:15] [INFO] received Windows console close event; shutting log-core down
[02:35:21] [INFO] received Windows console close event; shutting log-core down
[02:38:20] [INFO] received Windows console close event; shutting log-core down
[02:41:12] [INFO] received Windows console close event; shutting log-core down
[03:18:27] [INFO] received Windows console close event; shutting log-core down
[14:58:37] [INFO] received Windows console close event; shutting log-core down
[16:06:22] [INFO] received Windows console close event; shutting log-core down
[16:41:09] [INFO] received Windows console close event; shutting log-core down
[16:51:41] [INFO] received Windows console close event; shutting log-core down
[18:12:10] [INFO] received Windows console close event; shutting log-core down
[18:17:15] [INFO] received Windows console close event; shutting log-core down
[18:40:16] [INFO] received Windows console close event; shutting log-core down
[18:41:28] [INFO] received Windows console close event; shutting log-core down
[18:45:05] [INFO] received Windows console close event; shutting log-core down
[18:47:46] [INFO] received Windows console close event; shutting log-core down
[18:54:08] [INFO] received Windows console close event; shutting log-core down
[18:57:50] [INFO] received Windows console close event; shutting log-core down
[18:59:08] [INFO] received Windows console close event; shutting log-core down
[19:04:05] [INFO] received Windows console close event; shutting log-core down
[19:05:24] [INFO] received Windows console close event; shutting log-core down
[19:06:01] [INFO] received Windows console close event; shutting log-core down
[19:11:57] [INFO] received Windows console close event; shutting log-core down
[19:24:41] [INFO] received Windows console close event; shutting log-core down
[19:25:22] [INFO] received Windows console close event; shutting log-core down
[19:31:55] [INFO] received Windows console close event; shutting log-core down
[20:24:56] [INFO] received Windows console close event; shutting log-core down
[20:26:50] [INFO] received Windows console close event; shutting log-core down
[21:32:48] [INFO] received Windows console close event; shutting log-core down
[22:37:17] [INFO] received Windows console close event; shutting log-core down
[22:41:44] [INFO] received Windows console close event; shutting log-core down
[22:42:54] [INFO] received Windows console close event; shutting log-core down
[23:42:43] [INFO] received Windows console close event; shutting log-core down
[00:04:00] [INFO] received Windows console close event; shutting log-core down
[00:16:16] [INFO] received Windows console close event; shutting log-core down
